nome_mutuario;cpf;numero_identidade;data_nascimento;estado_civil;sexo
LUCAS ;11165451214;8357363;24/06/1962;solteiro;M
RAMON ;10052077883;4432442;07/01/1979;solteiro;M
ANDRE ;11570213486;6254996;09/04/1973;solteiro;M
FABIANA ;10780199615;8668549;06/04/1986;solteiro;F
IVAN ;10296361990;2600253;26/08/1956;solteiro;M
JOSE ;11760009615;8466281;22/11/1972;solteiro;M
WILLIAN ;11671660570;5005191;08/03/1976;casado;M
ELISA ;11787932729;1182010;26/06/1983;solteiro;F
VANDER ;10708643295;5467536;21/06/1990;solteiro;F
RENAN ;10378780004;6866325;27/10/1955;divorciado;F
JOAS ;10606797549;9288895;13/07/1952;solteiro;M
ADRIANA ;10648680625;6528380;29/03/1957;solteiro;M
MARILENE ;11527812398;4601338;17/03/1975;solteiro;F
JOSE ;11992485353;5616779;15/09/1989;solteiro;F
CLAUDIA ;10370212774;9188332;22/04/1969;solteiro;F
JESSICA ;10474134514;6697848;24/09/1980;solteiro;M
DENIS ;11871013481;5246891;07/11/1989;solteiro;F
AMARILDO ;11580743651;4033676;28/02/1953;solteiro;M
ALCINARA ;11889111624;7610597;17/10/1950;divorciado;M
FABIO ;11203122855;3015095;20/03/1976;divorciado;F
GUSTAVO ;11666114324;8211814;17/04/1975;solteiro;F
GIOVANNI ;11465948917;7814104;22/12/1992;solteiro;M
LEONARDO ;11810951096;8553613;09/01/1970;solteiro;F
CLAUDINEI ;11000919926;5950079;28/10/1966;solteiro;M
EZEQUIAS ;11380505081;9692134;25/10/1987;solteiro;F
KARINA ;10340926567;3129899;22/08/1966;solteiro;M
MATHEUS ;10941724511;4499437;02/02/1988;divorciado;M
ALESSANDRA ;10272789164;8818104;17/10/1972;solteiro;M
RENAN ;11036042024;5344495;23/12/1968;solteiro;M
FELIPE ;11991109082;8755960;14/06/1993;solteiro;M
GISLAINE ;11066577761;3173011;21/01/1952;solteiro;F
ANDERSON ;11217498812;8288180;23/04/1967;divorciado;F
MARIA ;11972462344;3584084;08/03/1961;divorciado;M
REINALDO ;11749881957;9201101;08/02/1974;casado;F
GABRIELA ;10807517006;7229991;14/10/1965;solteiro;F
MARCEL ;11652710778;8462012;26/07/1986;solteiro;M
FABIO ;10184084244;7356065;05/05/1959;solteiro;M
LOYANE ;10227461600;2401584;17/06/1966;solteiro;M
GIL ;11279555495;5110366;14/10/1962;solteiro;F
RHENE ;11635014699;2634134;14/02/1969;divorciado;M
ELBA ;11321116271;2575984;19/07/1999;casado;F
APARECIDA ;10578135579;3385650;02/12/1955;divorciado;F
LILIANE ;12092486768;3232110;27/10/1953;divorciado;M
DIEGO ;10074461284;1070846;16/10/1970;solteiro;F
DANIELA ;11031066971;9619971;13/11/1990;solteiro;M
FABIANA ;10882982308;9937723;08/03/1998;solteiro;F
VIVIANE ;11761104869;2461656;25/02/1981;divorciado;M
FAUSTINO ;11977717184;7161830;14/01/1971;divorciado;M
VALTENCIR ;11771800874;3602336;27/06/1987;solteiro;F
CLAUDIA ;10265155834;2770087;22/06/1983;solteiro;M
JULIO ;11812618862;4578772;19/12/1987;casado;M
MICHELE ;10509656755;2228273;06/06/1990;divorciado;M
FELIPE ;10194486002;9043186;14/04/1980;solteiro;M
VANESSA ;11571984403;9440286;19/10/1961;divorciado;F
DANILO ;11054197838;1629441;02/09/1953;solteiro;M
ADRIANO ;10065649775;6103957;28/12/1981;divorciado;F
CAROLINA ;12095232080;4991069;20/01/1983;casado;M
PAULO ;11470123731;5290635;06/11/1953;solteiro;F
FABIANE ;12039652024;4607800;26/12/1991;divorciado;M
GUSTAVO ;10347904300;7313423;19/08/1977;divorciado;M
PAMELA ;10871853339;8024668;24/12/1975;divorciado;F
LUIZ ;11641295892;6673175;05/08/1951;divorciado;M
SEBASTIAO ;11882860409;6194218;04/07/1954;divorciado;M
NELCI ;10341733768;5765744;10/10/1970;casado;M
MURILO ;11848914797;2966412;31/05/1988;divorciado;F
LIBIA ;11114096861;9872688;23/04/1972;solteiro;F
ROBERTO ;10627040382;1691243;27/06/1979;divorciado;F
DEBORA ;10254513954;9826248;26/03/1998;divorciado;M
GUILHERME ;11717034950;3655050;11/04/1959;divorciado;F
FABIO ;10711738374;8078795;15/11/1959;divorciado;F
MARCELO ;12102635894;7432510;02/06/1996;divorciado;F
DIEGO ;10161552587;9179391;01/03/1951;divorciado;M
IGOR ;10894239430;8478288;03/10/1950;solteiro;M
JONAS ;10154466724;9892832;21/01/1977;solteiro;M
MARILEIDE ;10923124684;7366682;05/08/1983;solteiro;M
PAULO ;11174973352;1670419;13/01/1977;divorciado;M
WANDERLEY ;11653361153;9437506;24/10/1962;divorciado;M
MEIRE ;10120785829;3907889;12/01/1966;divorciado;M
DARCY ;10750188779;6993605;22/07/1964;solteiro;M
MATHEUS ;10856992441;9286819;17/11/1974;divorciado;F
FABRICIO ;10489334895;3778192;16/12/1985;divorciado;M
JOSE ;10660157378;1931754;26/02/1979;divorciado;M
CRISTIANE ;11395362688;8132087;16/09/1976;divorciado;M
ALYNE ;10445079086;6123706;27/08/1988;solteiro;F
MARCIO ;12014239177;2760931;24/10/1992;divorciado;M
RODRIGO ;10409614167;8770431;12/09/1954;divorciado;M
VICTOR ;11968902881;5894676;04/10/1995;divorciado;F
SIMONE ;12059588821;2198964;19/03/1980;casado;F
FREDERICO ;11249362611;2590923;20/06/1957;solteiro;F
LENE ;10797969789;7384532;06/05/1993;casado;M
MIKHAEL ;11188234287;7118476;29/07/1980;divorciado;M
CARLA ;11656961195;3159753;08/06/1955;solteiro;M
CARLA ;11166867816;4169893;09/05/1991;divorciado;M
ANA ;12032946946;1448640;04/09/1964;divorciado;M
NATALIA ;11893125174;5925463;22/08/1981;solteiro;F
HELDER ;10536871506;3921693;14/03/1961;divorciado;M
GEDIVAN ;10551953026;5563177;13/09/1956;divorciado;M
TANIA ;11789041532;7601363;29/05/1982;divorciado;M
ALINE ;11252464458;5321878;05/07/1981;solteiro;M
FERNANDA ;10285756086;5349012;18/02/1997;divorciado;M
MARIANO ;10656001593;5366490;12/06/1997;divorciado;M
FELIPE ;10811831963;8765573;16/05/1979;solteiro;M
MICHELLE ;10853281439;9874292;19/06/1971;divorciado;F
MESSIAS ;12110902832;5419182;11/11/1969;solteiro;M
WILSON ;11551051859;4693785;26/11/1999;solteiro;M
DORACI ;10204541011;3724547;26/03/1965;solteiro;M
DANIELLE ;11034882570;9560777;12/10/1993;solteiro;F
LAIS ;10028513223;4807662;07/05/1989;solteiro;M
MARCIO ;11713527399;9725430;09/04/1964;divorciado;M
SABRINA ;11889228707;1120876;28/10/1953;divorciado;F
NELSON ;10628054107;4240771;04/12/1963;solteiro;M
FILLIPE ;11595763914;7361473;20/01/1966;solteiro;M
ICARO ;11614165873;1463257;10/12/1989;solteiro;M
EDMILSON ;10398307641;9399275;27/11/1995;solteiro;M
LEANDRO ;10505202213;5005879;30/07/1968;solteiro;F
MAISA ;11974004058;9342812;14/09/1996;solteiro;M
KATIA ;10489375980;9017641;24/07/1950;casado;F
LUIZ ;11049373570;5987875;21/08/1987;solteiro;F
TALITA ;10093767620;3512566;05/02/1961;solteiro;M
JOANA ;10505447543;6171700;15/10/1973;solteiro;F
JULIANA ;11628520399;2388842;19/08/1992;solteiro;M
SANDRA ;11496476067;8573928;30/06/1992;solteiro;M
PATRICIA ;10544383451;6570313;10/07/1978;solteiro;M
TIAGO ;11280963245;2782726;23/10/1951;solteiro;F
PAMELA ;11033881364;2377083;27/09/1954;solteiro;F
RICARDO ;11061770703;9909014;18/05/1988;casado;M
LUCAS ;10511750503;7583495;23/09/1967;solteiro;M
FRANCINE ;10987972050;1961455;06/01/1965;solteiro;F
RODRIGO ;10720830996;6773291;28/11/1991;solteiro;F
THIAGO ;12096868999;3501420;29/03/1981;solteiro;M
MAURO ;11651062068;1766118;29/05/1994;solteiro;M
ANDRESA ;11436056580;2484947;30/11/1994;divorciado;M
CAMILA ;11043060412;4395692;31/08/1987;divorciado;F
ROGERIO ;11367499852;4212726;16/03/1997;solteiro;F
SORAYA ;12046112357;8384661;09/10/1963;divorciado;F
RODRIGO ;10084169863;6184499;26/01/1981;solteiro;F
MURILO ;10507887549;4931288;06/11/1960;solteiro;F
MARCIA ;10909739451;7896627;25/05/1961;casado;F
SIDNEY ;11912065055;1624555;01/08/1994;divorciado;F
TATIANA ;10201208296;4564920;02/07/1989;divorciado;M
DANIELE ;10637613878;8130257;02/02/1950;solteiro;F
ELAINA ;11312622206;2488723;20/10/1986;solteiro;M
DONIZETE ;10047687144;8546859;26/12/1951;solteiro;F
NALDINE ;11296927893;2382021;30/04/1986;solteiro;F
GUILHERME ;10247930268;4396327;28/02/1956;divorciado;F
FABIO ;11661104118;9077311;09/05/1973;divorciado;F
WELMER ;10733873440;5974847;03/01/1979;solteiro;F
ADILSON ;10506962309;4993129;05/03/1984;divorciado;F
ELBIO ;11211576203;4669393;21/06/1987;solteiro;F
RAPHAEL ;10226983337;2037185;30/07/1971;solteiro;M
GISELE ;11583787332;3381758;31/05/1999;solteiro;F
GABRIEL ;11218465543;6930611;10/11/1982;casado;F
RENATO ;10254613326;5337699;05/08/1967;solteiro;F
DIEGO ;11837889035;4415003;09/12/1963;solteiro;F
MARY ;11988200323;3976030;12/01/1995;solteiro;M
CARINA ;11776397890;3917303;22/02/1972;solteiro;M
LUIS ;11784207760;1400037;07/10/1961;casado;M
VANESSA ;10602733117;1912483;02/01/1963;solteiro;F
BENERGILIO ;11695694296;6190147;19/01/1952;solteiro;F
RAFAEL ;11544862716;7233704;16/02/1978;solteiro;M
LUIZ ;10732363393;8428527;22/05/1982;solteiro;F
CRISTIANE ;10261176132;7442079;20/01/1972;divorciado;F
TATIANE ;10955276079;9318522;11/12/1994;casado;M
WLADIMIR ;11293810652;3383042;18/07/1992;solteiro;F
RAFAEL ;10111150328;7272791;11/12/1959;solteiro;F
MARCOS ;12052682004;9562440;27/05/1964;divorciado;M
SILVIO ;10051380475;7964126;21/07/1952;solteiro;M
FRANCIELLE ;11736400040;3790269;04/06/1995;divorciado;M
NATALIA ;11662987066;3233038;16/10/1989;solteiro;F
NELSON ;11950735369;6727177;22/08/1989;divorciado;F
BRUNO ;11297224535;6413303;07/09/1957;divorciado;M
LUCAS ;10369211524;2397720;17/07/1964;solteiro;F
ANA ;10068123246;4333085;16/03/1962;divorciado;F
ROSIANE ;10539082296;7234177;07/06/1961;casado;M
PHILIPPE ;11407127516;2957655;01/11/1967;divorciado;M
ESLEY ;10744157418;9906596;15/09/1971;solteiro;M
FABIANA ;10103690678;3673607;02/06/1965;solteiro;F
MARIA ;11973159754;5223800;27/03/1971;divorciado;M
ANA ;11384206725;1707941;09/10/1985;divorciado;F
SERGIO ;11862945952;5985221;02/10/1983;solteiro;F
JOSIANE ;11825041440;8480687;29/03/1996;divorciado;M
JULIANA ;10490245670;5338669;04/10/1968;divorciado;M
RUTE ;11461900297;4860442;22/08/1961;divorciado;M
CARLOS ;10101592928;5205624;18/05/1998;divorciado;F
ALICE ;11281638729;5200431;02/06/1951;divorciado;M
DANIELA ;11725235493;7096318;24/07/1986;solteiro;M
MARIA ;11864551427;5062914;29/07/1965;divorciado;M
FABIO ;10839629015;9628042;04/08/1998;divorciado;F
DAIANA ;10830045189;8461179;10/12/1998;solteiro;F
LETICIA ;12009931426;3875123;31/07/1962;divorciado;M
CLEITON ;10678256335;1478601;09/09/1969;solteiro;F
ALESSANDRA ;11568391366;6683482;14/07/1965;casado;F
JULIANA ;11780491420;7152131;30/05/1954;divorciado;F
BRUNA ;11811467644;3404592;25/11/1953;divorciado;F
ALEXANDRA ;11615814382;2614148;22/09/1962;divorciado;M
FABIANA ;10512531283;5380682;27/01/1952;divorciado;M
VALDENI ;10731851425;6165702;03/04/1982;divorciado;M
ANA ;11880703378;1500084;16/04/1950;divorciado;F
AROLDO ;11954563398;8490814;17/10/1963;divorciado;M
ISABEL ;11359662076;5492368;25/12/1958;solteiro;F
FABIO ;10114737502;4044973;08/07/1978;divorciado;M
VILMA ;11369975073;8982999;01/02/1990;solteiro;F
LETICIA ;11107808162;3653362;30/03/1979;solteiro;M
JELITA ;10183223114;8698405;09/01/1978;casado;M
TIAGO ;10765540292;8544994;18/02/2000;divorciado;M
JESSICA ;11523629031;4452755;14/11/1980;divorciado;F
LUIZ ;10025400420;9503878;24/11/1961;divorciado;F
IGOR ;10352519416;9991193;23/09/1965;divorciado;M
JOEL ;11327535192;2066094;04/01/1965;divorciado;M
LEONARDO ;10456926377;1159798;11/05/1973;solteiro;M
KARINA ;10698996191;5882291;13/10/1994;divorciado;F
PAULO ;10233953480;4936121;09/01/1966;solteiro;M
OSNI ;11988709636;8757845;14/02/1996;divorciado;F
SILMARA ;10449986260;9889505;28/12/1988;divorciado;M
TIAGO ;11220653197;7261267;13/06/1990;solteiro;M
WESLEY ;11442761974;6750173;27/07/1954;solteiro;F
FATIMA ;11918266752;1573797;31/03/1995;solteiro;F
JACQUELINE ;11162476173;1158821;03/09/1951;divorciado;M
REGINA ;11941126394;7755528;14/08/1983;solteiro;M
ANDERSON ;10749469759;9366565;30/10/1956;solteiro;M
ANDERSON ;11721082580;4572830;12/08/1999;divorciado;M
ANA ;10012743826;9062837;04/06/1961;solteiro;M
LUIZ ;11002563958;5010641;08/02/1978;casado;M
PAULO ;11652562454;4061058;11/12/1965;solteiro;F
MARGARIDA ;11634513553;1436853;11/02/1971;divorciado;M
WESLEY ;10690201828;6699828;18/06/1966;solteiro;M
DAYANE ;11603729286;6640235;05/01/1956;divorciado;F
ELVIS ;11628578157;1864131;31/01/1959;divorciado;M
KARINA ;11330448530;8659852;16/06/1962;solteiro;F
MIRIA ;11438417987;5832776;18/02/1981;divorciado;M
RICARDO ;11866538763;6736510;06/08/1963;casado;M
MARCIANA ;10782912268;2295662;01/05/1958;solteiro;F
FRANCIELLE ;11674663758;6765166;18/11/1998;solteiro;M
RENAN ;10550276746;2283074;15/05/1969;divorciado;M
PRISCILA ;11772975486;5506120;12/08/1958;solteiro;M
EVANDRO ;10277246256;6973290;12/11/1977;divorciado;M
LETICIA ;11784077044;4725423;23/05/1986;solteiro;M
LUSIMAR ;11989076217;1707097;06/01/1963;divorciado;F
PATRICIA ;10876609601;8203327;12/01/1982;solteiro;F
CLEIDE ;11068711372;1008413;29/05/1991;casado;M
ELISANGELA ;11558314009;7506708;01/07/1989;solteiro;M
LUCIANO ;10964593040;1637690;03/01/1958;casado;M
TIAGO ;11520843567;3886327;23/03/1994;solteiro;M
CINTIA ;11750048418;7276751;11/10/1957;solteiro;F
ALEXANDER ;11433406391;7723239;30/06/1993;solteiro;M
WALLACE ;10813356190;1379468;17/08/1950;solteiro;M
ANA ;10544103619;1362644;12/05/1964;casado;M
SAMIRA ;10114544040;9890858;25/01/1984;solteiro;F
MARIA ;10359433564;2305379;05/01/1960;vi£vo;M
SILVIO ;10836594428;1860120;11/05/1972;solteiro;M
TAMARA ;10512167688;3478597;27/05/1974;divorciado;F
ELISABETE ;11936865979;8559082;05/03/1987;divorciado;F
DIEGO ;10411447282;8863052;05/10/1963;solteiro;M
DANIEL ;10717335655;3641388;19/12/1953;solteiro;M
AGUINALDO ;10548343264;9411052;29/08/1972;solteiro;M
ELISANGELA ;10762041340;6167629;08/11/1981;solteiro;M
ROGERIO ;12101347288;9636162;20/11/1989;casado;F
LIDIVANIA ;11176453914;1404949;09/07/1969;vi£vo;M
DAIANE ;11546109695;3268878;26/09/1991;solteiro;M
VALDEMIR ;10308698887;4180220;21/05/1950;solteiro;M
MICHELLE ;10104286081;4896771;10/12/1965;solteiro;M
ADENALDO ;10891713517;3530316;01/07/1970;solteiro;M
JACQUELINE ;11958104680;1590787;12/11/1952;divorciado;M
MAURICIO ;11350959170;1613260;15/01/1957;solteiro;M
TIAGO ;10437910391;2029633;27/10/1987;divorciado;M
ADRIANO ;10248909616;7289019;13/06/1977;casado;F
ANDERSON ;11721628402;5724337;16/11/1955;solteiro;M
MARY ;10766551682;8639863;07/07/1956;solteiro;M
CAMILA ;11367572604;8373426;18/12/1989;solteiro;F
DANIELA ;10620115201;9800201;11/04/1970;solteiro;M
GENILSON ;10616596313;1339063;02/01/1967;solteiro;M
MAICHOLN ;10975445219;2575224;31/12/1997;solteiro;M
DENISE ;11378790152;5623294;11/10/1999;solteiro;F
JOSY ;11942729777;8115903;31/01/1983;solteiro;F
JOCELIO ;10224713179;6726076;30/07/1991;divorciado;M
JACQUELINE ;11670946805;4806606;03/05/1986;casado;M
ALESSANDRA ;12094239993;1055325;21/03/1967;solteiro;M
MATEUS ;11539962836;1823387;03/04/1990;solteiro;F
GUSTAVO ;12099460271;1553512;14/03/1981;solteiro;F
GUILHERME ;11848834438;5359509;22/12/1982;solteiro;F
BEATRIZ ;10896799184;7453146;10/08/1952;solteiro;M
LUCIANO ;11366886619;4626686;30/05/1980;solteiro;F
TANIA ;10365540122;6079536;05/11/1983;solteiro;M
KARINA ;12067174506;2246816;20/08/1967;solteiro;M
DIEGO ;10192302213;1959852;18/12/1989;solteiro;M
CARLOS ;10929808364;2258047;26/01/1963;solteiro;F
LEANDRA ;10496827767;9050199;14/06/1998;divorciado;F
IKARO ;10440176626;6095351;21/01/1996;solteiro;M
LEONICE ;11638602655;4026715;11/03/1971;solteiro;M
WILLIAM ;10448130204;2124166;16/01/1982;solteiro;M
CAROLINA ;10643675880;6409235;02/06/1977;solteiro;F
JHONY ;11678997208;5483863;30/05/1962;solteiro;F
BRUNO ;11111312610;4552037;09/03/1951;casado;F
JULIANA ;11926037811;9546274;24/02/1997;divorciado;F
EMERSON ;10305176494;6564860;09/10/1961;divorciado;M
FERNANDO ;11238844282;8973534;27/07/1969;divorciado;M
ROMARIO ;10496385239;1764306;17/07/1989;divorciado;M
JOSE ;10935659693;8413801;17/09/1958;divorciado;F
CAMILA ;11791383839;9922933;07/05/1994;solteiro;M
GUILHERME ;10112039453;9714664;30/08/1985;solteiro;M
JORGE ;11235469954;7492709;20/12/1962;divorciado;M
LIDIANE ;11725473228;2385440;21/03/1961;divorciado;M
LEIANY ;10815163733;7528523;12/07/1982;solteiro;M
MARINA ;10236879292;1917751;06/03/1990;divorciado;F
FELLIPE ;10019253232;2315345;03/05/1991;solteiro;M
DANIELA ;11739739586;8422525;27/01/1960;divorciado;M
ARIELA ;11756810888;6671333;22/11/1953;divorciado;F
VALDEMIR ;10962649730;7256153;20/06/1995;divorciado;M
LEONARDO ;11439868624;9030335;17/10/1953;casado;M
RAIMUNDO ;10009672262;5446211;19/03/1971;solteiro;M
THIAGO ;10447022324;1589114;23/04/1988;divorciado;M
DANIELA ;10599003881;8855392;26/10/1994;divorciado;M
ROSANE ;10946633554;3425405;30/08/1967;solteiro;M
RAFAEL ;11850800132;2124416;18/08/1996;divorciado;M
MARILENE ;11339541913;7681036;10/11/1973;divorciado;M
KLEBER ;11352379142;2314893;15/11/1957;solteiro;M
ALINE ;10404022141;9336697;07/11/1986;divorciado;F
ALINE ;10861522773;1010353;17/08/1973;divorciado;F
CARLOS ;11015152848;5032538;09/11/1964;divorciado;F
JOSIANE ;11103840853;8547585;01/11/1986;divorciado;M
BRUNO ;11522801546;6947393;11/06/1974;casado;F
RENATA ;10248097803;4084768;20/09/1989;divorciado;F
JOAO ;11617803746;5267603;27/03/1968;divorciado;M
MARIANA ;11699589868;1347801;15/08/1990;divorciado;M
BRUNO ;11086335230;4765813;28/11/1950;divorciado;F
SYLVESTER ;11136948820;3888438;20/10/1965;divorciado;F
EDSON ;10438329189;7903647;15/11/1953;solteiro;F
SABRINA ;12021840556;2103818;20/05/1974;casado;M
ANDREIA ;11947835321;8950323;27/11/1988;solteiro;M
HELENO ;10590597068;6126143;28/02/1992;solteiro;F
FRANCINE ;11708040903;9785147;28/11/1963;divorciado;F
JEHRRINY ;11328187444;4870610;08/05/1999;divorciado;F
KAINA ;11345461623;4464958;27/08/1954;casado;M
ANTONIO ;12060982366;8076645;10/07/1954;divorciado;F
THAIS ;10475846112;2317352;17/08/1954;divorciado;M
GISLAINE ;10716627825;9749081;13/05/1977;solteiro;M
FRANCISCO ;11109071007;5236405;27/08/1972;divorciado;M
VERA ;10850039905;6663855;11/08/1991;divorciado;M
JESSICA ;10069017479;6297499;09/02/1966;solteiro;M
MARCIA ;11942723692;2652552;24/09/1961;solteiro;M
JOHN ;11230339648;7484793;26/11/1967;divorciado;F
REGIANE ;10124843493;3569954;10/07/1965;divorciado;M
CARLOS ;11787302479;9819637;02/07/1987;solteiro;F
JANETE ;11322003512;8308264;19/06/1967;divorciado;M
PEDRO ;10597880416;8221216;01/03/1975;casado;M
LEANDRO ;10302132557;7636958;22/04/1970;solteiro;M
JOEL ;10204688646;4038103;16/04/1990;divorciado;M
MATHEUS ;11480201782;4307910;12/08/1999;solteiro;M
LUCAS ;10919020094;7222885;08/08/1963;solteiro;F
JENIFER ;12108400995;1050715;12/12/1973;solteiro;F
ANGELICA ;10593573755;7511670;18/11/1999;divorciado;M
ANA ;10274219475;4493718;21/03/1985;solteiro;M
MURILO ;10755148274;4518900;08/03/1981;divorciado;F
JHONATAN ;10711850751;9680738;22/10/1979;solteiro;M
ERIKA ;11183044499;3444149;18/04/1983;divorciado;M
PAULO ;10636941084;9830970;22/12/1995;divorciado;F
TIAGO ;10674436810;6372641;20/12/1978;divorciado;M
MATHEUS ;10575750211;2405065;23/02/1972;solteiro;M
ADRIANO ;11100940196;6852872;09/05/1984;divorciado;M
RAFAEL ;10013331260;9717523;03/03/1961;solteiro;M
CICERO ;10335797594;3585139;31/10/1983;divorciado;M
MARCOS ;10254512289;2974997;07/12/1965;divorciado;M
MARCIO ;10975363906;8691941;02/04/1974;solteiro;F
CACILDA ;10781467587;3922880;06/06/1961;divorciado;M
EMERSON ;12124520216;3568167;01/03/1968;divorciado;M
LORIS ;11971407074;3294430;16/02/1970;divorciado;F
LETICIA ;10147790877;9109855;26/11/1986;solteiro;F
DIOGO ;10092552420;6669238;26/01/1950;solteiro;M
VINCENT ;11736957819;2790427;31/01/1987;divorciado;M
BRUNO ;10016425030;8137526;22/12/1950;solteiro;F
JAMES ;10008607156;3045835;07/12/1961;casado;M
CARLOS ;11912499634;5321873;06/10/1966;divorciado;F
JERUZA ;11445387737;7049354;12/05/1978;divorciado;M
DOUGLAS ;11201649577;6077220;20/05/1950;solteiro;M
SILVIO ;10942261977;8309193;06/07/1985;divorciado;M
BRUNA ;11387202356;9279537;29/09/1995;divorciado;M
MARINA ;11049571363;7450732;19/04/1959;solteiro;F
MARCOS ;11145891476;3282602;14/10/1991;divorciado;F
ADRIANA ;11194460656;9798055;08/02/1987;divorciado;F
EDUARDO ;11702736145;5948260;12/03/1950;divorciado;M
BIANCA ;11091051841;4170643;23/06/1970;solteiro;F
ADILSON ;11738133252;5057928;13/04/1968;casado;F
FRANCISCO ;11797981446;6149451;13/08/1977;divorciado;M
FABIO ;11951595752;8241457;01/09/1999;divorciado;F
JESUS ;11328964672;6780601;01/10/1999;divorciado;F
LINCOLN ;10452964710;5448725;06/10/1968;divorciado;F
RONALDO ;10289292702;1531199;10/04/1990;divorciado;F
ANDREZZA ;11398753148;9815404;17/04/1963;divorciado;F
ALAN ;10249019437;5891171;30/01/1979;divorciado;F
RAFAEL ;11987449032;3094798;24/01/1992;divorciado;F
JESSICA ;10075096949;4433820;22/07/1964;casado;M
GUILHERME ;11926628859;3784134;21/03/1982;divorciado;F
ADRIEL ;11923269654;7283694;23/12/1953;divorciado;M
LAUANA ;11450846223;4172481;21/05/1999;divorciado;M
LORRAINE ;11411743655;1449411;22/08/1967;casado;F
VLADIMIR ;10866357716;4967673;29/02/1980;solteiro;M
MARIA ;10177465468;6772194;05/09/1958;divorciado;F
JONAS ;10096181680;7233048;07/08/1975;divorciado;M
DANIELE ;11542890702;6132111;19/10/1982;divorciado;M
PABLO ;10063823898;6721905;11/01/1958;solteiro;M
VANIA ;10119411368;1607120;11/12/1952;solteiro;F
CAROLINA ;10534886027;5477287;04/07/1981;divorciado;F
RONALDO ;10374496918;2756314;02/05/1973;solteiro;M
JUNIA ;10037242964;3327896;23/05/1970;solteiro;F
JERFSON ;12073870649;5847394;22/06/1955;solteiro;M
WESLEY ;10008842544;2163404;12/11/1997;divorciado;M
ISMAEL ;10060252819;5020604;22/02/1985;solteiro;M
MARLIZE ;10624687348;3724517;15/01/1989;divorciado;M
JADIAEL ;10289079905;9640777;06/12/1983;solteiro;F
JOANA ;11795727451;6242330;30/08/1976;solteiro;M
AMANDA ;10465602859;4345304;19/11/1975;divorciado;M
LUCIANA ;12081391764;9080387;15/12/1970;solteiro;M
GISLAINE ;11548003563;2744858;26/08/1986;divorciado;F
FLAVIO ;10249493655;7232815;28/10/1991;divorciado;M
WILLIAM ;10523597738;3099407;11/07/1986;divorciado;F
JACQUELINE ;10410323001;4481081;02/04/1968;solteiro;F
MARCIA ;11489785580;9721696;12/04/1958;solteiro;F
PRISCILA ;12095309936;6266507;27/07/1972;divorciado;M
RAFAEL ;10523396148;2215704;11/03/1995;divorciado;F
MARIANGELA ;12117582315;4859994;21/06/1960;divorciado;M
PATRICIA ;11263474881;8436906;01/11/1966;solteiro;M
MARISTELA ;10582820253;8953904;02/08/1983;divorciado;M
MARCOS ;11091807212;7323935;31/03/1957;divorciado;M
APARECIDA ;11771079831;9749144;19/11/1995;divorciado;F
MARCIO ;10467830357;4682407;18/07/1991;divorciado;M
FERNANDO ;10707067629;2088686;27/02/1964;divorciado;M
RAFAEL ;10008820553;9717235;29/06/1978;divorciado;M
SUZIANE ;11554482116;7080018;13/04/2000;divorciado;F
MILTON ;11658001933;6932565;18/09/1981;divorciado;M
MARCUS ;10005329594;3027206;24/02/1989;divorciado;M
LIVIA ;11254175108;5221515;21/11/1965;divorciado;M
MARIZETE ;11592231676;1932016;03/03/1983;solteiro;F
LEOTACIO ;10539454669;2860847;13/11/1998;casado;F
FRANCINETE ;10278758930;2978802;20/03/1964;divorciado;F
MARIA ;11220952301;9648255;08/07/1989;divorciado;F
SAMIRA ;11675086193;7603157;02/09/1979;divorciado;F
WALDEMAR ;10268534824;3803935;27/10/1974;solteiro;F
ELAINE ;11072254755;1702162;21/08/1973;divorciado;F
VERA ;10543346205;3370323;27/02/1983;divorciado;F
DANILO ;10712228099;1580682;20/08/1993;divorciado;F
EMYLIANE ;11422898239;3450029;23/10/1996;divorciado;M
MARIANA ;11186679628;7910878;29/05/1997;solteiro;F
MARCIA ;11864333980;6283954;28/03/1985;divorciado;F
JULIO ;11843066591;4541969;26/07/1979;divorciado;F
VINICIUS ;11826248725;6706520;19/01/1982;divorciado;F
JOAO ;11282107087;6479740;10/03/1967;solteiro;F
ANDRE ;11908700336;3769424;17/03/1980;divorciado;F
ADRIANA ;12099582728;9555255;03/12/1960;divorciado;F
WESLEY ;11561003176;9541760;03/06/1991;solteiro;M
ADRIANA ;11914237412;4225619;31/10/1951;divorciado;M
FERNANDO ;10711782177;4133286;20/05/1972;divorciado;F
KELEN ;11976456136;3204007;02/07/1964;solteiro;F
FABIO ;12125263506;1971212;26/05/1993;divorciado;F
MAYRA ;11201386082;7072470;31/03/1977;solteiro;M
LUCAS ;12097001017;8427532;05/05/1971;casado;F
BRUNA ;11457080949;2848802;17/02/1993;solteiro;F
MAXIMIANA ;10416721810;6665738;17/02/1979;solteiro;M
JACKSON ;11643793169;3317946;10/02/1981;solteiro;F
FERNANDA ;10582079190;9044895;22/09/1966;solteiro;F
MARCIA ;11987154754;6893559;20/07/1977;solteiro;M
STEFANI ;12144574784;5517949;27/04/1990;solteiro;F
JANAINA ;10316873627;6089411;31/10/1996;solteiro;F
RAPHAEL ;12028459796;9279917;25/02/1975;solteiro;M
DANIELA ;11483883362;8392409;27/04/1955;solteiro;F
